judul,isi,kategori
Prabowo Resmi Lantik Arif Satria Jadi Kepala BRIN Gantikan Tri Handoko,"Jakarta, CNN Indonesia -- Presiden Prabowo Subianto resmi melantik Arif Satria sebagai Kepala Badan Riset dan Inovasi Nasional ( BRIN ) di Kompleks Istana Kepresidenan, Jakarta, Senin (10/11). Ia menggantikan posisi Laksana Tri Handoko yang sudah menjabat sejak 2021. Arif dilantik bersama Amarulla Octavian yang akan menjabat sebagai Wakil Kepala BRIN. Arif sebelumnya merupakan rektor Institut Pertanian Bogor (IPB) University periode 2017-2022 dan 2023-2028. Lihat Juga : Absen Pelantikan Menteri, Gibran Kunker ke Jayapura Papua Arif diangkat sebagai Kepala BRIN sesuai Keputusan Presiden RI Nomor 123/P Tahun 2025 tentang Pemberhentian dan Pengangkatan Kepala dan Wakil Kepala Badan Riset dan Inovasi Nasional (BRIN). ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT ""Demi Allah saya bersumpah bahwa saya akan setia kepada UUD Negara RI tahun 1945 serta akan menjalankan segala peraturan perundangan dengan selurus-lurusnya demi darma bakti saya kepada bangsa dan negara bahwa saya dalam menjalankan tugas dan jabatan akan menjunjung tinggi etika dan jabatan bekerja sebaik-baiknya dan penuh tanggung jawab,"" ujar Arif Satria dan Amarulla mengikuti ucapan Prabowo. Sebelumnya Prabowo melakukan reshuffle ketiga pada Rabu(17/9) lalu. Sejumlah menteri diganti. Menteri BUMN Erick Thohir dicopot dari jabatannya sebagai Menteri BUMN. Namun, ia kini ditunjuk sebagai Menteri Pemuda dan Olahraga (Menpora), menggantikan Dito Ariotedjo. Kemudian, Prabowo juga melantik Djamari Chaniago sebagai Menteri Koordinator Bidang Politik dan Keamanan (MenkoPolkam). Ia menggantikan posisi Budi Gunawan yang dicopot dari jabatan tersebut. Lihat Juga : Daftar Lengkap 11 Pejabat yang Dilantik Prabowo Kemarin (mnf/tfq/dmi) [Gambas:Video CNN]",Teknologi > Sains
"Profil Arif Satria, Kepala BRIN yang Baru Dilantik Prabowo Hari Ini","Jakarta, CNN Indonesia -- Presiden Prabowo Subianto resmi melantik Arif Satria sebagai Kepala Badan Riset dan Inovasi Nasional ( BRIN ), di Kompleks Istana Kepresidenan, Jakarta, Senin (10/11). Ia menggantikan posisi Laksana Tri Handoko yang sudah menjabat sejak 2021. Arif dilantik bersama dengan Amarulla Octavian yang ditunjuk sebagai Wakil Kepala BRIN. Lihat Juga : Daftar Menteri-Wamen Kabinet Prabowo Berlatar Belakang TNI-Polri ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Arif sebelumnya menjabat sebagai Rektor Institut Pertanian Bogor (IPB) University sejak 2018. Pria kelahiran Pekalongan, Jawa Tengah, 17 September 1971 itu memulai perjalanan akademiknya di IPB pada tahun 1990. Ia kemudian menyelesaikan studi sarjana di Program Studi Penyuluhan Pertanian, Departemen Sosial Ekonomi Pertanian, Fakultas Pertanian IPB pada 1995. Ia kemudian menjalani karier akademiknya sebagai dosen di Jurusan Sosial Ekonomi Perikanan, Fakultas Perikanan IPB pada 1997 atau dua tahun setelah lulus S1. Arif melanjutkan studinya dengan meraih gelar magister dari Program Sosiologi Pedesaan IPB pada 1999. Selain itu, Arif mendapat gelar doktor usai menjalani pendidikan di Kagoshima University, Jepang, bidang Marine Policy pada tahun 2006, serta menjalani program visiting student di Fisheries Center, University of British Columbia, Kanada. Lihat Juga : Angga Raka Rangkap 3 Jabatan: Wamenkomdigi, Komut Telkom, Kepala BKP Kemudian, pada 2019, ia dikukuhkan sebagai Guru Besar Tetap di Fakultas Ekologi Manusia IPB dalam bidang Ekologi Politik. Dia menjabat sebagai rektor selama dua periode, yakni pada 2017-2022 dan 2023-2028. Arif juga pernah menduduki jabatan penting di sejumlah organisasi, di antaranya Ketua Ikatan Cendekiawan Muslim Indonesia (ICMI) periode 2021-2026, Ketua Umum Forum Rektor Indonesia periode 2020-2021, dan Ketua Perhimpunan Sarjana Pertanian Indonesia periode 2011-2016. Selain itu, Arif juga pernah menjadi Wakil Ketua Panitia Seleksi KPK tahun 2024. Ia juga tercatat sebagai Komisaris Utama PTPN Holding pada 2018-2022. (dmi/dmi) [Gambas:Video CNN]",Teknologi > Sains
"Amarulla Octavian, Purnawirawan TNI yang Kini Jadi Wakil Kepala BRIN","Jakarta, CNN Indonesia -- Amarulla Octavian resmi dilantik sebagai Wakil Kepala Badan Riset dan Inovasi Nasional ( BRIN ), pada Senin (10/11). Ia dilantik bersama Arif Satria yang kini menduduki posisi Kepala BRIN. Amarulla bukan orang baru di BRIN. Ia sebelumnya sudah menjabat sebagai Wakil Kepala BRIN sejak 2023 lalu setelah melepas jabatan sebagai Rektor Universitas Pertahanan (Unhan). Lihat Juga : Prabowo Resmi Lantik Arif Satria Jadi Kepala BRIN Gantikan Tri Handoko ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Lahir pada 24 Oktober 1965, Amarulla merupakan Purnawirawan TNI AL berpangkat Laksamana Madya (Laksdya) sekaligus ilmuwan Bidang Pertahanan Indonesia. Ia merupakan alumnus Akademi Angkatan Laut (AAL) angkatan ke-XXXIII/tahun 1988. Jabatan terakhir jenderal bintang tiga ini adalah Rektor Unhan ke-7. Ia sebelumnya tercatat pernah menduduki sejumlah jabatan penting. Amarulla merupakan mantan ajudan Presiden RI Susilo Bambang Yudhoyono. Amarulla merupakan peraih gelar Doktor dari Fakultas Ilmu Sosial dan Ilmu Politik Universitas Indonesia tahun 2013. Disertasinya berjudul 'Globalisasi dan Transformasi Institusi Pendidikan TNI AL: Suatu Kajian Sosiologik atas Sekolah Staf Komando TNI AL'. Melansir berbagai sumber, selain mengenyam pendidikan militer, dia mengawali rekam jejaknya usai lulus dari Sekolah Tinggi Teknologi Angkatan Laut pada 2001, dan meraih gelar sarjana teknik. Kemudian, ia meraih gelar magister dari Universite Paris-Pantheon-Assas, Prancis pada tahun 2006. Tujuh tahun kemudian atau pada 2013, Amarulla mendapat gelar doktor dari Jurusan Sosiologi Universitas Indonesia. Lihat Juga : Profil Arif Satria, Kepala BRIN yang Baru Dilantik Prabowo Hari Ini Karier sebagai pengajar akademik dijalani sejak 2003. Saat itu, Amarulla menjadi asisten ahli di Sekolah Tinggi Teknologi Angkatan Laut, dan berlanjut hingga meraih pangkat lektor pada 2008. Kemudian, kariernya sebagai pengajar akademik berlanjut di Universitas Pertahanan. Ia menjadi dosen tetap pada 2014, dan pada 2020 dirinya ditunjuk sebagai rektor. Setelah tiga tahun menjadi rektor Unhan, ia melanjutkan kariernya di sebagai Wakil Kepala BRIN pada 2023. Ia kemudian dipilih kembali dan resmi dilantik untuk jabatan yang sama hari ini. (dmi/dmi) [Gambas:Video CNN]",Teknologi > Sains
Cara Agar Foto WhatsApp Tak Langsung Tersimpan di Galeri,"Jakarta, CNN Indonesia -- Pengguna WhatsApp terkadang tidak ingin langsung menyimpan foto atau video di galeri, karena hal tersebut bisa menguras memori. Simak cara agar foto dan video tidak langsung tersimpan di galeri. Aplikasi WhatsApp adalah salah satu platform komunikasi utama di Indonesia, dengan intensitas berkirim pesan yang cukup tinggi. Tak hanya teks, pengguna memanfaatkan aplikasi ini untuk berkirim foto hingga video. Lihat Juga : TIPS TEKNOLOGI Cara Mudah Migrasi Data dari Android ke iPhone Baru ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT WhatsApp menyediakan fitur yang memungkinkan pengguna langsung menyimpan foto dan video yang diterima. Meski bermanfaat, fitur ini berpotensi menguras memori pengguna. Selain itu, pengguna mungkin tidak selalu ingin menyimpan foto dan video yang diterima, terutama yang ada di obrolan grup. Berikut cara mematikan fitur simpan foto dan video otomatis: Android 1. Buka aplikasi WhatsApp 2. Pilih ikon titik 3 atau menu 3. Buka Pengaturan > Obrolan 2. Matikan Visibilitas media Jika mematikan Visibilitas media, Anda bisa menyalakannya kembali kapan saja jika ingin WhatsApp otomatis mengunduh audio, video, dan foto lagi. iOS 1. Buka aplikasi WhatsApp 2. Ketuk Pengaturan > Chat 3. Matikan Simpan ke foto Jika mematikan Simpan ke foto, Anda bisa menyalakannya kembali kapan saja jika ingin WhatsApp otomatis mengunduh audio, gambar, dan video lagi. Lihat Juga : WhatsApp Web Tak Sinkron dengan Ponsel, Begini Cara Mengatasinya Lebih lanjut, pengguna juga bisa menyesuaikan pengaturan untuk menyimpan media yang masuk dari chat individual atau grup tertentu. Berikut caranya: Android 1. Dari tab Chat, ketuk chat individual atau grup. 2. Ketuk nama kontak atau grup untuk melihat Info kontak atau Info grup. 3. Ketuk Visibilitas media > Tidak > OKE. Di Android, file media secara otomatis disimpan di folder media WhatsApp Anda. Jika Anda memiliki penyimpanan internal, folder WhatsApp akan berada di penyimpanan internal. Jika Anda tidak memiliki penyimpanan internal, folder tersebut akan berada di kartu SD atau kartu SD eksternal. iOS 1. Dari tab Chat, ketuk chat individual atau grup. 2. Ketuk nama kontak atau grup untuk melihat Info kontak atau Info grup. 3. Ketuk Simpan ke foto, lalu pilih: Default (menyala): Media yang masuk akan disimpan di Foto. Selalu: Semua media yang masuk disimpan di Foto. Jangan pernah: Media yang masuk tidak akan disimpan di Foto. (lom/dmi) [Gambas:Video CNN]",Teknologi > Teknologi Informasi
"Prabowo Buka Peluang Pembatasan Game PUBG, Ternyata Ini Alasannya","Jakarta, CNN Indonesia -- Presiden Prabowo Subianto disebut membuka peluang membatasi game online seperti PUBG , usai insiden ledakan di SMAN 72 Jakarta, Jumat (7/11). Menteri Sekretaris Negara Prasetyo Hadi mengatakan Prabowo meminta perkembangan penanganan insiden ledakan di SMAN 72 Jakarta dari Kapolri Jenderal Listyo Sigit Prabowo dan pejabat lainnya pada Minggu malam (9/11). Dalam kesempatan itu, Prabowo menyoroti pengaruh game online terkait dengan peristiwa ledakan tersebut. Lihat Juga : Prabowo Soroti Pengaruh Game Online Terkait Ledakan di SMAN 72 ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Menurut Pras dalam rapat tersebut Prabowo menyinggung pembatasan game online karena bisa berpengaruh kurang baik kepada generasi muda. ""Beliau tadi menyampaikan bahwa, kita juga masih harus berpikir untuk membatasi dan mencoba bagaimana mencari jalan keluar terhadap pengaruh-pengaruh dari game online,"" kata Pras usai pertemuan di kediaman Prabowo, Jalan Kertanegara IV, Jakarta, Minggu (9/11). Ia mencontohkan game PUBG yang dinilai bisa memengaruhi tindakan kekerasan. Menurut Pras tidak menutup kemungkinan, game online seperti PUBG memengaruhi generasi muda. ""Misalnya contoh, PUBG. Itu kan di situ, kita mungkin berpikirnya ada pembatasan-pembatasan ya, di situ kan jenis-jenis senjata, juga mudah sekali untuk dipelajari, lebih berbahaya lagi. Ini kan secara psikologis, terbiasa yang melakukan yang namanya kekerasan itu sebagai sesuatu yang mungkin menjadi biasa saja,"" katanya. Prasetyo mengatakan Prabowo menyampaikan terima kasih kepada Polri karena penanganan korban dan pengamanan TKP dilakukan dengan cepat. Lihat Juga : Rilis GTA VI Molor Lagi, Dijadwalkan Meluncur November Tahun Depan Prabowo juga menekankan peristiwa itu menjadi peringatan bagi semua pihak. ""Beliau juga menyampaikan bahwa kita memang perlu menumbuhkan kembali kepedulian sosial, menghidupkan kembali kehidupan bermasyarakat kita, beliau juga tadi membahas bagaimana karang taruna harus aktif kembali, pramuka harus aktif kembali,"" katanya. ""Terus kalau di lingkungan sekolah bagaimana para guru dan tenaga pendidik harus lebih aware atau perhatian manakala ada sesuatu yang mencurigakan,"" imbuh Prasetyo. Ledakan terjadi di SMAN 72, Kelapa Gading, Jakarta, Jumat (7/11) siang. Total, sebanyak 96 orang menjadi korban luka-luka akibat insiden tersebut. Hingga sehari pasca kejadian, sebanyak 29 korban masih dirawat di sejumlah rumah sakit dan 67 sisanya sudah dipulangkan. Selain di RSI Cempaka Putih, ada pula di Rumah Sakit Yarsi dan RS Pertamina. Pilihan Redaksi Roblox Komitmen Ikut Regulasi di Indonesia, Janji Lakukan Hal Ini Nintendo Switch Generasi Pertama Bakal Dipensiunkan, Apa Gantinya? Komdigi: Empati Bikin Manusia Tak Bisa Digantikan AI ""Sehingga total yang masih dirawat ada kurang lebih 29 dari 96. Dan sisanya kemarin sudah pulang dan mungkin dilaksanakan rawat jalan,"" kata Kapolri Jenderal Listyo Sigit Prabowo. Sigit menyebut pelaku merupakan salah satu siswa di sekolah tersebut, dan jumlahnya terdiri dari satu orang. Namun, polisi masih mendalami dugaan keterlibatan pihak lain. ""Saat ini masih satu yang kita dapati. Namun kita tidak berhenti di situ, kita terus melakukan penyisiran apakah ada pihak lain dan saat ini tim sedang bekerja,"" katanya. Sementara itu, Detasemen Khusus (Densus) 88 Antiteror Polri menyebut terdapat tujuh peledak yang dibawa oleh terduga pelaku. Juru Bicara Densus 88 Antiteror Polri AKBP Mayndra Eka Wardhana menyebut hal itu diketahui usai melakukan olah Tempat Kejadian Perkara usai insiden ledakan terjadi. ""Benar [ada tujuh peledak]"" ujarnya saat dikonfirmasi lewat pesan singkat, Minggu (9/11). Ia mengatakan dari tujuh peledak yang dibawa terduga pelaku, empat di antaranya meledak di dua lokasi yang berbeda. (yoa/dmi) [Gambas:Video CNN]",Teknologi > Teknologi Informasi
"Musim Dingin Tiba, Salju Mulai Menyelimuti Kota Toronto Kanada",,Teknologi
Cara Agar Foto WhatsApp Tak Langsung Tersimpan di Galeri,"Jakarta, CNN Indonesia -- Pengguna WhatsApp terkadang tidak ingin langsung menyimpan foto atau video di galeri, karena hal tersebut bisa menguras memori. Simak cara agar foto dan video tidak langsung tersimpan di galeri. Aplikasi WhatsApp adalah salah satu platform komunikasi utama di Indonesia, dengan intensitas berkirim pesan yang cukup tinggi. Tak hanya teks, pengguna memanfaatkan aplikasi ini untuk berkirim foto hingga video. Lihat Juga : TIPS TEKNOLOGI Cara Mudah Migrasi Data dari Android ke iPhone Baru ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT WhatsApp menyediakan fitur yang memungkinkan pengguna langsung menyimpan foto dan video yang diterima. Meski bermanfaat, fitur ini berpotensi menguras memori pengguna. Selain itu, pengguna mungkin tidak selalu ingin menyimpan foto dan video yang diterima, terutama yang ada di obrolan grup. Berikut cara mematikan fitur simpan foto dan video otomatis: Android 1. Buka aplikasi WhatsApp 2. Pilih ikon titik 3 atau menu 3. Buka Pengaturan > Obrolan 2. Matikan Visibilitas media Jika mematikan Visibilitas media, Anda bisa menyalakannya kembali kapan saja jika ingin WhatsApp otomatis mengunduh audio, video, dan foto lagi. iOS 1. Buka aplikasi WhatsApp 2. Ketuk Pengaturan > Chat 3. Matikan Simpan ke foto Jika mematikan Simpan ke foto, Anda bisa menyalakannya kembali kapan saja jika ingin WhatsApp otomatis mengunduh audio, gambar, dan video lagi. Lihat Juga : WhatsApp Web Tak Sinkron dengan Ponsel, Begini Cara Mengatasinya Lebih lanjut, pengguna juga bisa menyesuaikan pengaturan untuk menyimpan media yang masuk dari chat individual atau grup tertentu. Berikut caranya: Android 1. Dari tab Chat, ketuk chat individual atau grup. 2. Ketuk nama kontak atau grup untuk melihat Info kontak atau Info grup. 3. Ketuk Visibilitas media > Tidak > OKE. Di Android, file media secara otomatis disimpan di folder media WhatsApp Anda. Jika Anda memiliki penyimpanan internal, folder WhatsApp akan berada di penyimpanan internal. Jika Anda tidak memiliki penyimpanan internal, folder tersebut akan berada di kartu SD atau kartu SD eksternal. iOS 1. Dari tab Chat, ketuk chat individual atau grup. 2. Ketuk nama kontak atau grup untuk melihat Info kontak atau Info grup. 3. Ketuk Simpan ke foto, lalu pilih: Default (menyala): Media yang masuk akan disimpan di Foto. Selalu: Semua media yang masuk disimpan di Foto. Jangan pernah: Media yang masuk tidak akan disimpan di Foto. (lom/dmi) [Gambas:Video CNN]",Teknologi > Teknologi Informasi
"Amarulla Octavian, Purnawirawan TNI yang Kini Jadi Wakil Kepala BRIN","Jakarta, CNN Indonesia -- Amarulla Octavian resmi dilantik sebagai Wakil Kepala Badan Riset dan Inovasi Nasional ( BRIN ), pada Senin (10/11). Ia dilantik bersama Arif Satria yang kini menduduki posisi Kepala BRIN. Amarulla bukan orang baru di BRIN. Ia sebelumnya sudah menjabat sebagai Wakil Kepala BRIN sejak 2023 lalu setelah melepas jabatan sebagai Rektor Universitas Pertahanan (Unhan). Lihat Juga : Prabowo Resmi Lantik Arif Satria Jadi Kepala BRIN Gantikan Tri Handoko ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Lahir pada 24 Oktober 1965, Amarulla merupakan Purnawirawan TNI AL berpangkat Laksamana Madya (Laksdya) sekaligus ilmuwan Bidang Pertahanan Indonesia. Ia merupakan alumnus Akademi Angkatan Laut (AAL) angkatan ke-XXXIII/tahun 1988. Jabatan terakhir jenderal bintang tiga ini adalah Rektor Unhan ke-7. Ia sebelumnya tercatat pernah menduduki sejumlah jabatan penting. Amarulla merupakan mantan ajudan Presiden RI Susilo Bambang Yudhoyono. Amarulla merupakan peraih gelar Doktor dari Fakultas Ilmu Sosial dan Ilmu Politik Universitas Indonesia tahun 2013. Disertasinya berjudul 'Globalisasi dan Transformasi Institusi Pendidikan TNI AL: Suatu Kajian Sosiologik atas Sekolah Staf Komando TNI AL'. Melansir berbagai sumber, selain mengenyam pendidikan militer, dia mengawali rekam jejaknya usai lulus dari Sekolah Tinggi Teknologi Angkatan Laut pada 2001, dan meraih gelar sarjana teknik. Kemudian, ia meraih gelar magister dari Universite Paris-Pantheon-Assas, Prancis pada tahun 2006. Tujuh tahun kemudian atau pada 2013, Amarulla mendapat gelar doktor dari Jurusan Sosiologi Universitas Indonesia. Lihat Juga : Profil Arif Satria, Kepala BRIN yang Baru Dilantik Prabowo Hari Ini Karier sebagai pengajar akademik dijalani sejak 2003. Saat itu, Amarulla menjadi asisten ahli di Sekolah Tinggi Teknologi Angkatan Laut, dan berlanjut hingga meraih pangkat lektor pada 2008. Kemudian, kariernya sebagai pengajar akademik berlanjut di Universitas Pertahanan. Ia menjadi dosen tetap pada 2014, dan pada 2020 dirinya ditunjuk sebagai rektor. Setelah tiga tahun menjadi rektor Unhan, ia melanjutkan kariernya di sebagai Wakil Kepala BRIN pada 2023. Ia kemudian dipilih kembali dan resmi dilantik untuk jabatan yang sama hari ini. (dmi/dmi) [Gambas:Video CNN]",Teknologi > Sains
"Profil Arif Satria, Kepala BRIN yang Baru Dilantik Prabowo Hari Ini","Jakarta, CNN Indonesia -- Presiden Prabowo Subianto resmi melantik Arif Satria sebagai Kepala Badan Riset dan Inovasi Nasional ( BRIN ), di Kompleks Istana Kepresidenan, Jakarta, Senin (10/11). Ia menggantikan posisi Laksana Tri Handoko yang sudah menjabat sejak 2021. Arif dilantik bersama dengan Amarulla Octavian yang ditunjuk sebagai Wakil Kepala BRIN. Lihat Juga : Daftar Menteri-Wamen Kabinet Prabowo Berlatar Belakang TNI-Polri ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Arif sebelumnya menjabat sebagai Rektor Institut Pertanian Bogor (IPB) University sejak 2018. Pria kelahiran Pekalongan, Jawa Tengah, 17 September 1971 itu memulai perjalanan akademiknya di IPB pada tahun 1990. Ia kemudian menyelesaikan studi sarjana di Program Studi Penyuluhan Pertanian, Departemen Sosial Ekonomi Pertanian, Fakultas Pertanian IPB pada 1995. Ia kemudian menjalani karier akademiknya sebagai dosen di Jurusan Sosial Ekonomi Perikanan, Fakultas Perikanan IPB pada 1997 atau dua tahun setelah lulus S1. Arif melanjutkan studinya dengan meraih gelar magister dari Program Sosiologi Pedesaan IPB pada 1999. Selain itu, Arif mendapat gelar doktor usai menjalani pendidikan di Kagoshima University, Jepang, bidang Marine Policy pada tahun 2006, serta menjalani program visiting student di Fisheries Center, University of British Columbia, Kanada. Lihat Juga : Angga Raka Rangkap 3 Jabatan: Wamenkomdigi, Komut Telkom, Kepala BKP Kemudian, pada 2019, ia dikukuhkan sebagai Guru Besar Tetap di Fakultas Ekologi Manusia IPB dalam bidang Ekologi Politik. Dia menjabat sebagai rektor selama dua periode, yakni pada 2017-2022 dan 2023-2028. Arif juga pernah menduduki jabatan penting di sejumlah organisasi, di antaranya Ketua Ikatan Cendekiawan Muslim Indonesia (ICMI) periode 2021-2026, Ketua Umum Forum Rektor Indonesia periode 2020-2021, dan Ketua Perhimpunan Sarjana Pertanian Indonesia periode 2011-2016. Selain itu, Arif juga pernah menjadi Wakil Ketua Panitia Seleksi KPK tahun 2024. Ia juga tercatat sebagai Komisaris Utama PTPN Holding pada 2018-2022. (dmi/dmi) [Gambas:Video CNN]",Teknologi > Sains
Prabowo Resmi Lantik Arif Satria Jadi Kepala BRIN Gantikan Tri Handoko,"Jakarta, CNN Indonesia -- Presiden Prabowo Subianto resmi melantik Arif Satria sebagai Kepala Badan Riset dan Inovasi Nasional ( BRIN ) di Kompleks Istana Kepresidenan, Jakarta, Senin (10/11). Ia menggantikan posisi Laksana Tri Handoko yang sudah menjabat sejak 2021. Arif dilantik bersama Amarulla Octavian yang akan menjabat sebagai Wakil Kepala BRIN. Arif sebelumnya merupakan rektor Institut Pertanian Bogor (IPB) University periode 2017-2022 dan 2023-2028. Lihat Juga : Absen Pelantikan Menteri, Gibran Kunker ke Jayapura Papua Arif diangkat sebagai Kepala BRIN sesuai Keputusan Presiden RI Nomor 123/P Tahun 2025 tentang Pemberhentian dan Pengangkatan Kepala dan Wakil Kepala Badan Riset dan Inovasi Nasional (BRIN). ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT ""Demi Allah saya bersumpah bahwa saya akan setia kepada UUD Negara RI tahun 1945 serta akan menjalankan segala peraturan perundangan dengan selurus-lurusnya demi darma bakti saya kepada bangsa dan negara bahwa saya dalam menjalankan tugas dan jabatan akan menjunjung tinggi etika dan jabatan bekerja sebaik-baiknya dan penuh tanggung jawab,"" ujar Arif Satria dan Amarulla mengikuti ucapan Prabowo. Sebelumnya Prabowo melakukan reshuffle ketiga pada Rabu(17/9) lalu. Sejumlah menteri diganti. Menteri BUMN Erick Thohir dicopot dari jabatannya sebagai Menteri BUMN. Namun, ia kini ditunjuk sebagai Menteri Pemuda dan Olahraga (Menpora), menggantikan Dito Ariotedjo. Kemudian, Prabowo juga melantik Djamari Chaniago sebagai Menteri Koordinator Bidang Politik dan Keamanan (MenkoPolkam). Ia menggantikan posisi Budi Gunawan yang dicopot dari jabatan tersebut. Lihat Juga : Daftar Lengkap 11 Pejabat yang Dilantik Prabowo Kemarin (mnf/tfq/dmi) [Gambas:Video CNN]",Teknologi > Sains
"Prabowo Buka Peluang Pembatasan Game PUBG, Ternyata Ini Alasannya","Jakarta, CNN Indonesia -- Presiden Prabowo Subianto disebut membuka peluang membatasi game online seperti PUBG , usai insiden ledakan di SMAN 72 Jakarta, Jumat (7/11). Menteri Sekretaris Negara Prasetyo Hadi mengatakan Prabowo meminta perkembangan penanganan insiden ledakan di SMAN 72 Jakarta dari Kapolri Jenderal Listyo Sigit Prabowo dan pejabat lainnya pada Minggu malam (9/11). Dalam kesempatan itu, Prabowo menyoroti pengaruh game online terkait dengan peristiwa ledakan tersebut. Lihat Juga : Prabowo Soroti Pengaruh Game Online Terkait Ledakan di SMAN 72 ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT Menurut Pras dalam rapat tersebut Prabowo menyinggung pembatasan game online karena bisa berpengaruh kurang baik kepada generasi muda. ""Beliau tadi menyampaikan bahwa, kita juga masih harus berpikir untuk membatasi dan mencoba bagaimana mencari jalan keluar terhadap pengaruh-pengaruh dari game online,"" kata Pras usai pertemuan di kediaman Prabowo, Jalan Kertanegara IV, Jakarta, Minggu (9/11). Ia mencontohkan game PUBG yang dinilai bisa memengaruhi tindakan kekerasan. Menurut Pras tidak menutup kemungkinan, game online seperti PUBG memengaruhi generasi muda. ""Misalnya contoh, PUBG. Itu kan di situ, kita mungkin berpikirnya ada pembatasan-pembatasan ya, di situ kan jenis-jenis senjata, juga mudah sekali untuk dipelajari, lebih berbahaya lagi. Ini kan secara psikologis, terbiasa yang melakukan yang namanya kekerasan itu sebagai sesuatu yang mungkin menjadi biasa saja,"" katanya. Prasetyo mengatakan Prabowo menyampaikan terima kasih kepada Polri karena penanganan korban dan pengamanan TKP dilakukan dengan cepat. Lihat Juga : Rilis GTA VI Molor Lagi, Dijadwalkan Meluncur November Tahun Depan Prabowo juga menekankan peristiwa itu menjadi peringatan bagi semua pihak. ""Beliau juga menyampaikan bahwa kita memang perlu menumbuhkan kembali kepedulian sosial, menghidupkan kembali kehidupan bermasyarakat kita, beliau juga tadi membahas bagaimana karang taruna harus aktif kembali, pramuka harus aktif kembali,"" katanya. ""Terus kalau di lingkungan sekolah bagaimana para guru dan tenaga pendidik harus lebih aware atau perhatian manakala ada sesuatu yang mencurigakan,"" imbuh Prasetyo. Ledakan terjadi di SMAN 72, Kelapa Gading, Jakarta, Jumat (7/11) siang. Total, sebanyak 96 orang menjadi korban luka-luka akibat insiden tersebut. Hingga sehari pasca kejadian, sebanyak 29 korban masih dirawat di sejumlah rumah sakit dan 67 sisanya sudah dipulangkan. Selain di RSI Cempaka Putih, ada pula di Rumah Sakit Yarsi dan RS Pertamina. Pilihan Redaksi Roblox Komitmen Ikut Regulasi di Indonesia, Janji Lakukan Hal Ini Nintendo Switch Generasi Pertama Bakal Dipensiunkan, Apa Gantinya? Komdigi: Empati Bikin Manusia Tak Bisa Digantikan AI ""Sehingga total yang masih dirawat ada kurang lebih 29 dari 96. Dan sisanya kemarin sudah pulang dan mungkin dilaksanakan rawat jalan,"" kata Kapolri Jenderal Listyo Sigit Prabowo. Sigit menyebut pelaku merupakan salah satu siswa di sekolah tersebut, dan jumlahnya terdiri dari satu orang. Namun, polisi masih mendalami dugaan keterlibatan pihak lain. ""Saat ini masih satu yang kita dapati. Namun kita tidak berhenti di situ, kita terus melakukan penyisiran apakah ada pihak lain dan saat ini tim sedang bekerja,"" katanya. Sementara itu, Detasemen Khusus (Densus) 88 Antiteror Polri menyebut terdapat tujuh peledak yang dibawa oleh terduga pelaku. Juru Bicara Densus 88 Antiteror Polri AKBP Mayndra Eka Wardhana menyebut hal itu diketahui usai melakukan olah Tempat Kejadian Perkara usai insiden ledakan terjadi. ""Benar [ada tujuh peledak]"" ujarnya saat dikonfirmasi lewat pesan singkat, Minggu (9/11). Ia mengatakan dari tujuh peledak yang dibawa terduga pelaku, empat di antaranya meledak di dua lokasi yang berbeda. (yoa/dmi) [Gambas:Video CNN]",Teknologi > Teknologi Informasi
